TSL Word,TSL Definition
internationally,around the world
invaluable,to be of great worth
messenger,person who carries a piece of information to someone else  
paperback,a book that has a cover made of paper
rebate,an amount of money given back to you as part of the deal when you buy goods or services
recur,happens again
reproduce,to make one or more copies of something
spray,to send tiny drops of liquid into the air
staple,short thin piece of wire  that is punched through sheets of paper to fasten them together
strategic,in a way carefully thought about
stripe,a line or band of a different color
teen,someone aged between the ages of thirteen and nineteen
tempt,to try to get someone to do something they should not
timer,something that counts seconds and minutes
unload,to remove something (usually from a truck)
unusually,not normal or usual
vacate,leave empty; move out of
whale,a large mamal that lives in the sea
wisely,to do something that is the right thing to do
amateur,"a beginner, not a professional, done for pleasure not for pay"
ambassador,"somebody who represents somehting, usually a country"
anew,"starting over again, a fresh start"
architectural,to do with the design of buildings
attain,to get or achieve
balloon,a colorful round object made of rubber that is filled with air
blueprint,a drawing or plan to show what the finished thing will look like
bug,an insect
cautious,to be careful
circuit,a set path you move along
clap,hitting your hands together to make a noise to show you enjoyed something
commerce,"trade, business, industry "
convey,to give a message to someone
cord,electric cable
counselor,someone who helps people with problems for a living
debit,a record of an amount of money taken out of an account
delicate,need to handle with care
dependence,the state of needing someone
distraction,the act of taking your focus away from something
downsize,reduce in size or number
elephant,a large animal with a long trunk and big ears found in Africa and Asia
enthusiasm,the act of being excited about something
enthusiast,"a person who is crazy about something, e.g. a sports enthusiast"
evident,to be clear or obvious
flexibility,the ability to adapt or change easily
flextime,there is a choice about when to start and finish working a set number of hours
fortunately,"happily, luckily"
freighter,a large ship that is used to transport goods
generator,a machine that makes electricity
hallway,a passage or corridor that other rooms open out of 
hamburger,a flat round cake of minced beef that is fried and then eaten in a bread roll
hazard,something that is dangerous
homeowner,someone who owns the house that they live in 
imperative,very important and urgent
inflate,to make bigger
insert,to put into or add into
lecturer,an instructor or professor
meaningful,to have a meaning or purpose
memorize,to learn and remember things
merchant,a person who sells things for a living
modification,a change made on something
occupant,"a person who lives in a place, e.g. renter, tenant"
overcharge,to ask for too much money for goods or service
oversee,to supervise
petition,"a demand for a particular action, usually signed by a lot of people "
pillow,soft cushion to rest your head on when you go to bed
popcorn,grains of maize that have been heated up until they explode; good to eat as a snack
pottery,"earthenware, stoneware, ceramics"
professionally,to do with your work or job
publicize,make known generally
ray,a beam of light from the sun
redecorate,to redo the inside of a house with new colors and furniture
refinery,a factory where raw materials are taken to be made pure
refresh,to put new life or energy into
refundable,money that can be returned if you change your mind about a purchase
reimbursement,the money that is given to cover the cost of an expense that has been paid out
reliability,the state of being trustworthy
reluctant,not very willing to do something
sewer, the pipes that carry water and waste away from toilets
skate,glide over the surface as if you are sliding on ice
skateboard,a flat board with small wheels on the bottom that you move by pushing on the ground with one foot
sleepy,"tired, ready for bed"
tailor,adjust something to fit a specific need or market
termination,the  end of something
theft,the taking and keeping of something that does not belong to you
thunderstorm,"an extreme weather condition with rain, wind, thunder and lightening"
transmission,the message sent from one to another
transmit,to send a message to someone
unused,not yet put into use
waive,to give up or do without
yen,the basic unit of money in Japan 
activate,to start or begin something
additionally,"furthermore, also"
affirmative,"positive, meaning 'yes'"
baker,someone who bakes for a living 
brainstorm,a group discussion to come up with a lot of ideas very quickly
cage,a box-like crate usually made of steel
cinema,a movie theatre
collaboration,the act of working together
condominium,"a building that has lots of apartments in it, all owned and lived in by different people"
consecutive,following one after the other 
cordless,no electric cable needed
deluxe,rich and superior in quality
desirable,worth having or wanting
discrepancy,an unexpected difference between two things that needs to be explained
dispatch,to send out 
drawback,the downside of something
dull,boring; not exciting
economically,related to use of income and money
evenly,in equal ways
excellence,"the state of being very, very good"
exclusively,offered only to a certain group
farewell,goodbye
fatigue,"what you feel when you are very, very tired"
fiscal,to do with money
fleet,a group of ships travelling together
flour,white powder from wheat used in baking
fog,a cloud of white filled with small water droplets
formally,officially
gram,a small measurement of weight
handbook,a book that gives intructions on how to do something
headphone,a set of small speakers that fit into each ear so that only you can hear the sound
heater,something that warms a room
helmet,something you wear to protect your head
hiker,someone who likes to go for long walks in their leisure time
homeless,to be without a place to live 
lighter,not as heavy as
loudly,in a manner that is not quiet
loyalty,the act of being faithful to someone or something
microwave,kitchen appliance that cooks food quickly
misidentify,to mistakenly recognise something; to think that it is something else
neat,"tidy, clean"
nomination,the state of being suggested for something
officially,done by the government or office in charge
outfit,a set of clothes like a uniform
pastry,"a food made of flour, fat and water and baked with other food inside it"
personalize,change something so that it is tailored to a particular person's needs
poorly,Badly; not enough; not sufficient
prestigious,very important and well thought of
purser,an officer aboard a ship who keeps accounts and attends to the passengers' needs  
reassure,to make someone feel certain of something
resume,to continue or start again
reunion,when people get together to meet up after not meeting for a long time
revolutionize,"to make a new, big change in society"
seafood,things you can eat as food that live in the sea
signify,shows a sign that it has an important meaning
slot,a narrow opening
steer,guide the direction of
sue,To take legal action against someone
superb,very good
traditionally,to do things the way they used to be done
tremendous,extraordinary or excellent
underway,happening now
unpleasant,"not nice, not comfortable"
violin,small wooden instrument with four strings for making music 
ward,"an electoral district, a small area within which the people can all vote for the same thing"
worthwhile,useful; there is some value to it
adapter,something that connects to something to make it usable
advisable,"something one should do, or is good to do"
archive,a place where documents are kept for a long time
artistic,"to be creative, good at art"
assurance,certainty or full confidence
athletic,to do with sports
attire,clothing
auditor,a person who checks to make sure things are correct
bankruptcy,the act of having no more money to pay bills
bulk,in big amount
butter,"a kind of soft spread for bread, made from cow's milk"
centimeter,"a form of measurement,  e.g. there are 100 cm in a meter"
circulate,to move around in a circle
comb,make smooth by getting the knots out of
comfortably,to do something easily
compliance,the act of obeying rules
contraction,a tightening or squeezing movement
cookbook,a book that gives directions  on how to prepare and cook food
cushion,a pad to make something more comfortable
dose,the amount of medicine taken at one time
drum,a musical instrument you hit with wooden sticks
embed,to push something deep inside something else
evacuate,to make people leave an area
expedite,speed up the progress of
extinguisher,Device used to put out fires
familiarity,"the state of being used to, or comfortable with something"
flaw,something that is faulty in otherwise perfect person/thing
fluctuate,comes and goes stronger and weaker
fluent,able to speak a language easily and with confidence 
honestly,"really, truly"
housekeep,take care of all business related to a household
hurricane,a strong often deadly storm that begins over the water
hygiene,how you keep yourself and your surroundings clean and so that you stay healthy
integral,"very important, necessary as part of the whole thing"
interactive,to engage with others
interfere,to take part in something that is not your business
kilogram,a unit of weight; one kilogram is about the same weight as 2.2 pounds
layoff,"the act of ending a worker's job because there is not enough work, or not enough money to pay for it"
lightweight,someone or something that is not heavy 
merit,to deserve praise
necklace,"a piece of jewelery, or decoration, worn around the neck"
needy,people who are poor and do not have enough to live on
overpay,to hand over too much money  
pamphlet,a small paper leaflet or booklet  that tells you about a single subject
partial,to be a part of something whole
penalize,to punish someone
pollute,to make the environment dirty
prescribe,to formally tell someone what to do
probable,"possible, but not certain to be or become true or real"
prominent,"important, significant"
rainfall,"Water that falls from the clouds in the sky, in little drops"
relocation,the act of moving something to a new location
residence,the house or place you live
retrieve,to go and get something back
rider,someone who uses an animal or a bicycle or motorcycle for transport
rubber,the stretchy material that elastic bands are made of
rug,a small loose floor covering
salespeople,men and women whose job it is get people to buy things from their company 
sharply,harshly
similarity,the state of being almost the same
someday,At some unspecified time in the future
spectator,a person who watches something happening
stereo,a device that plays sound through two or more speakers
storeroom,a room where things can be kept when they are not being used
subsidize,to give financial help
suspicious,the feeling that something is not right
tasty,delicious
terrific,very great or wonderful
underground,below the surface
unpaid,working for no money
volleyball,a ballgame for two teams who try to hit a large ball backwards and forwards across a central net
wheelchair,"a seat, that has wheels, that allows a person who cannot walk to move about"
whoever,anyone who
wool,the fur of sheep
wrinkle,a crease or fold
accuracy,the state of being exact and correct
anyhow,"anyway, besides"
appetizer,small amount of food eaten before the main meal
arc,"a curved line, like part of a circle"
audition,a try out done by a performer to test whether they have the skills to do the job
backpack,a bag with shoulder straps worn on the back
ballroom,large room used mainly for dancing  
beneficial,"good for you, positive effect"
biography,someone's life story
bound,"wrap around with something, so as to cover or enclose  "
broom,a brush with a long handle used for sweeping the dirt from the floor
cheeseburger,a hamburger with melted cheese on it  
chilly,when the weather is cold and causing you to shiver
circus,a showy or noisy performance
compliment,saying something nice about someone
consignment,a shipment of goods for  delivery
continental,to do with the mainland
copyright,when you cannot copy work
countryside,"land outside of cities and towns, that does not have buildings on it"
demolish,knock down; completely destroy
departmental,to do with a specific area or unit in an organization
desperate,to be in urgent need of something
devastate,to destroy completely
diagnostic,how you solve problems by working out what is wrong 
diagram,a drawing explaining something
diamond,a very valuable gem
disable,to make something not work
disgust,strong feelings of dislike  
donut,"small, fried, very sweet piece of dough covered in sugar and good to eat"
doorman,Someone whose job it is to stand at entrance to a hotel to let people go in and out
electronically,to do something using electronics
elevate,to raise or make higher
engagement,the act of participating in something
enrollment,the act of registering for something
euro,a unit of money used in a number of European countries
forbid,to not allow
fork,eating utensil
foster,to promote or bring about
getaway,escape or leave very quickly
gossip,to talk about someone behind his/her back
hacker,someone who gains access to a computer system without permission
hardworking,always puts a lot of effort into the task or job
impatient,"in a hurry, not calm"
indirect,not in a straight way
interpreter,someone who translates from one language to another
intersection,where two paths cross each other
irrelevant,"not related to the topic, not important"
jeans,pants made from denim
journalism,the reporting of news
letterhead,the printing at the top of a letter that tells you the name and details of the company sending it
lifeguard,the person whose job it is to keep people safe at the beach or at  pool
modem,a device that lets you send information from one computer to another
monument,something built to honor someone
mosquito,a small winged insect that bites
obligate,to have to do
oblige,to make someone have to do something
occurrence,something that happens
operational,in working order
outage,a failure in the power system so that there is no electricity available
overcrowd,too many people in too small a space
paralegal,someone who works in a law company but who has not trained as a lawyer
partially,In part; in some degree; not wholly
pepper,a strong spice (black or white)
permanently,for ever
plow,to force your way through something
query,"question, inquire"
railway,"transport system of tracks ,stations and trains"
raincoat,a water-resistant coat  
reconsider,to think something over again
redesign,change or improve the plan of how a thing is made
rehearsal,a practice session in preparation for a public performance
relaxation,the act of resting 
repetition,to do something over and over again
retreat,to move back or withdraw from a place
salon,"a store where you can get a particular service, like getting your hair styled"
satellite,another branch of an office elsewhere
scenery,the view of natural surroundings
serial,"ongoing, happening more than once in a particular order"
sew,to use a needle and thread
sketch,"a simple, quickly made drawing"
smartphone,
soar,fly quickly up into the air
stimulus,the reason or prompt that causes something to happen
stockbroker,an agent whose job it is to buy and sell stocks and bonds  
tablecloth,a cover for a table
thirsty,in need of water
thrill,excitement
tile,"a thin slab of material, often made of clay, used for covering roofs and floors"
toiletry,articles used for washing and taking care of your body
trademark,the trade or brand name
tropical,hot and humid like the climate near the equator
tuna,"a type of fish that lives in the sea, and is good to eat"
unemployed,having no job
validate,to confirm that something is acceptable
vanilla,a flavoring used in ice cream and other sweet foods to make them taste good
willingness,being happy to do something
wristwatch,a small device for telling the time that you wear on your lower arm
abide,put up with
actively,in a way that takes effort and action
allergy,condition that means you get ill if you come into contact with a particular material
apprehensive,"uneasy, worried"
automotive,of or relating to motor vehicles
bacteria,small microbes that often make you sick
broaden,to widen 
bulb,"the shape of a teardrop, e.g. light bulb"
by-law,
cheer,"to cheer on, shout encouragement"
complication,the act of making something more difficult
considerate,showing concern for the rights and feelings of others
daytime,The time between when the sun rises and when it  goes down; not nightime
decoration,the act of decorating something (in the hope of making it more attractive)  
discard,to throw away
drastically,very seriously
erase,to remove or delete
explorer,a person who travels to unknown places 
factual,based on true information
fixture,"a piece of equipment, like a bath, that is permanently fixed to a building "
footwear,"something you wear on your feet, such as shoes or boots"
genre,"type of art, literature, or film, e.g. romance"
gymnasium,building with equipment you can use to exercise your body
hereby,a formal way of saying 'as a result of this'
hesitation,the act of pausing uncertainly
homemade,not bought from a store; made at home
hospitality,"welcoming, friendly behavior  you show to visitors or guests"
incoming,just arriving
induction,the act of being introduced into
inspiration,the thing or person that encourages you to do something
intently,concentrate closely
mower,machine used to cut grass
nutrition,the study of food and health
restatement,a statement that has been reworded
sedan,a type of car that has seats for four people
sunscreen,a cream spread on the skin that protects your skin from the sun
wellness,State of being healthy; not ill
workbook,"a file containing information about a particular subject, and relatated problems to be solved by the student"
bookcase,a piece of furniture with shelves for storing books  
cleanliness,"state of being not dirty, clean"
contestant,someone who is part of a contest
ethics,morals or belief system
healthful,helping to keep well in body and mind
inefficient,not working well or quickly
liter,a unit  of measurement for liquids
recession,a less successful time in the economy
timeline,"a series of related events arranged in the order they happen, and displayed in a row "
unreliable,not trustworthy
acclaim,approval and great praise
chronic,for a long time
deteriorate,to become worse in state
resemble,"to look like, similar to"
unauthorize,without official permission
violate,to break the rule or law
unplug,to pull out an electrical cord from its socket
videoconference,meeting carried out over the internet
