Meanings,English Definition,POS,J Translation
grasp,to grip something firmly with the hands,verb,握る；把握する，握ること
bulk,big size; largeness; heaviness,n,体積； 容積； 多量
terminology,specific words and expressions used in a particular field,n,用語
vegetation,plants,n,植生
triangle,a closed shape with three straight sides,n,三角形
traditionally,something done in a customary or traditional manner,adv,伝統的に
execute,"To kill someone, usually as an official punishment",verb,死刑執行する
intensive,needing great effort for a short period of time,adj,激しい；集中的な
reconstruct,to rebuild something after it has been destroyed,verb,再構築する
broadly,in a general (not detailed) manner,adv,広く
metabolism,the chemical processes of the body in which food is converted to energy,n,代謝
revolutionary,a significant change in something,adj,革新的な
merge,to cause two or more things to become combined into one,verb,合併する
dilemma,a position in which a person must make difficult choices,n,ジレンマ 
motif,"a distinctive form, shape or figure in a design",n,モチーフ
motive,a reason for doing something,n,動機
subtle,"difficult to notice, understand, or see",adj,微妙な; 繊細な；巧妙な
clinic,local medical center; department of a hospital,n,診療所
allocate,To distribute or set apart for a plan or purpose,verb,割り当てる
hydrogen,"the lightest of all chemical elements, has no smell or color",n,水素
dissertation,an in-depth paper submitted for a doctorate degree,n,論文
susceptible,at risk of developing a certain illness or problem,adj,影響を受けやすい
architect,person who designs and advises on buildings,n,建築家
coronary,concerning the heart,adj,冠状動脈
breakdown,when normal activity or behaviour stops,n,故障；破壊
inject,to put medicine into someone with a syringe,verb,注入する
economist,a person who studies economics,n,経済学者
momentum,speed or force that is gained when something moves,n,勢い；運動量
polar,concerning the areas near the North or South poles,adj,極の
backward,toward what is behind you,adv,後ろへ
multiply,to increase greatly in number,verb,掛け合わせる；増殖する
morality,beliefs or ideas about what is right and wrong,n,道徳；倫理
communicative,talkative; cooperative in giving information,adj,コミュニケーションのための；情報伝達の
physically,in a manner related to the body,adv,肉体的に；身体上
rainfall,water falling from the sky,n,降雨
politically,in connection with government matters,adv,政治的に
invasion,an entry into a place for the purpose of taking control,n,侵略
inevitably,happening with complete certainty,adv,必然的に
capitalism,economic system based on private ownership of money,n,資本主義
expertise,the special knowledge that an expert has,n,専門知識
inferior,not as good as something else,adj,劣る，目下の者
actively,doing things to achieve a specific goal,adv,積極的に
quotation,"words that a person has said or written in a play, book or movie",n,引用；相場；見積書
composite,made of more than one different part,adj,合成物，複合の
historically,throughout history,adv,歴史的に
textbook,a book that is used to study,n,教科書
bundle,a group of things that are tied together,n,束，束ねる
elementary,"basic, simple, or essential",adj,初等の
capitalist,one believing in private ownership of money,n,資本家； 資本主義者
flexibility,the quality of being able to be bent or stretched,n,柔軟性
cord,"a long, strong material, thicker than string but not as thick as rope; an electrical wire",n,ひも；コード
initiation,"a formal entry into an organization, position or office",n,開始
realistic,looks or appears real; like things really are,adj,現実的な
horizon,the line where the earth or sea meets the sky,n,地平線；水平線；視野；層位
consultation,a discussion between people to make a decision,n,相談；協議
ruler,someone who has control over a country or area,n,支配者；統治者
freely,"(living, existing) without being controlled",adv,自由に
rotate,to move or turn around a central point,verb,回転する
commodity,"Something useful or valuable, usually for sale",n,商品；日用品
elevation,the height of a place,n,高度
intervene,"to get involved, to prevent trouble",verb,介入する
compensate,to give (money) to as a form of correcting a loss,verb,補償する
atomic,concerning atoms,adj,原子の
trivial,unimportant,adj,ささいな
stance,a position or opinion that is stated to the public,n,姿勢
stabilize,"to make something stable or consistent, with no major changes",verb,安定させる
profound,showing a lot of deep knowledge or thought,adj,深遠な
whereby,by which; by that thing,adv,それによって～する
ancestor,a person from your family that lived in the past,n,祖先
genetics,"the scientific study of genes, how a living things develop between generations",n pl.,遺伝学
proton,a very small part of an atom that has a positive electrical charge,n,陽子
phosphate,a salt or compound used to help grown plants,n,リン酸塩
gravity,the force that makes things fall down towards the ground,n,重力
pole,"a long, narrow piece of metal or wood, that is used to hold or support something",n,極
puzzle,a problem that requires thought and skill to be solved,n,困らせる；当惑する，パズル
respiratory,to do with breathing,adj,呼吸器の
elimination,the act or process of removing or being removed,n,除去
exit,a door that you go through to leave a place,n,出口；終了
corruption,"actions that are illegal or morally questionable, often performed by a person in a position of power",n,汚職；腐敗；破損
circulate,to go round continuously,verb,循環する
obscure,"not famous, unknown by most people; not easy to understand",adj,あいまいな
contradict,"to disagree, to say the opposite is true",verb,矛盾する；否定する
interfere,to get involved in the business of others without invitation,verb,干渉する
trauma,a very severe or upsetting experience,n,外傷；トラウマ
upward,moving toward a higher point or position,adv,上向きに
gross,total amount; extreme or unreasonable,adj,気持ち悪い
optical,concerning vision or helping people see,adj,光学の
communist,believer in communism,adj,共産主義者
continent,one of the very large areas of land on Earth that are usually divided into several countries,n,大陸
physics,"the study of heat, light, and other forms of energy and how they affect objects",n pl.,物理学
viable,able to be done; possible,adj,実行可能な
limb,"leg, arm or wing",n,肢
retrieve,to find and get something from somewhere,verb,取り戻す；検索する
presume,to think that something is probably true,verb,推定する
rationality,being able to think clearly,n,合理性
stereotype,"an idea or belief about what someone or something is like, often unfair or untrue",n,固定観念，固定観念で見る
slavery,"(n,) the state of being a slave",n,奴隷制度
artistic,"Being able to paint, write music, etc.; creative",adj,芸術的な
anthropology,the study of human origins and the development of society,n,人類学
faculty,the teachers in a school or college,n,学部；教授陣；能力
antibiotic,concerning medicine that is used to fight certain diseases,adj,抗生物質，抗生物質の
portray,"to represent something or someone in a particular way, often for artistic purposes",verb,描く
chemistry,the study of the structure of substances,n,化学
sexuality,characterized and distinguished by sex,n,性的特質
axiom,a statement that is accepted as true,n,公理
pest,an unwanted insect or small animal that eats plants or food supplies,n,害虫
fracture,the result of breaking a hard material; a crack,n,骨折，骨折する；砕く
transplant,a medical operation in which a new organ is placed inside a patient's body,n,移植，移植する
goods,general term for things that are bought or sold,n pl.,商品
shortly,quickly; soon,adv,まもなく
epidemic,a disease affecting many people,adj,流行性の、伝染病
inversion,a change in position of things so they become the opposite,n,反転
irrelevant,"not important, not related to the topic",adj,無関係の
mechanic,a person who looks after machinery,n,機械工
epidemiology,the science of how diseases spread,n,疫学
dissolve,to melt into a liquid so that a substance mixes with the liquid itself,verb,溶解する
fatigue,being very tired,n,疲労
nonetheless,"in spite of that, nevertheless",adj,それにもかかわらず
bargain,something bought for a lower price than expected,n,バーゲン； 安売り
infectious,"capable of causing infection, by the spreading of a bacteria or virus to others",adj,伝染性の
individually,in a way involving only that person,adv,個別に
psychologist,an expert who studies the mind and behavior,n,心理学者
trans,"a prefix meaning 'across', 'through' or 'changing thoroughly'",prefix,トランス
irrigation,supplying land with water using pipes,n,かんがい
diary,blank book in which you write what you did each day,n,日記
treaty,an agreement between nations,n,条約
rehabilitation,"a scheme to help someone who has been ill or in prison to return to a healthy, independent, and useful life",n,修復；リハビリ
illusion,"an image that seems real, but is not real",n,幻想
bat,object used for hitting a ball in various games,n,バット
optimum,the best or most desirable,adj,最適な
fever,a high body temperature,n,熱
paradox,"a saying that seems contrary to popular belief, but which may be true",n,逆説；パラドックス
kidney,an organ in the body that cleans the blood,n,腎臓
predator,an animal that feeds itself by killing and eating other animals,n,捕食者
migrate,to move from place to another to live or work,verb,移動する; 移住する
infinity,with out end; limitless,n,無限
shallow,not deep; a small distance between the lowest and highest point,adj,浅い
fundamentally,in a basic and important way,adv,根本的に
synthetic,not natural; made from artificial materials,adj,合成的な
solar,"concerning the sun, or its heat",adj,太陽の
hepatitis,"a disease of the liver that causes inflammation, yellow skin and a fever",n,肝炎
ton,a unit of weight equal to 907 kilograms,n,トン
bubble,a small ball of air inside of a liquid,n,泡
bracket,a 90 degree piece of metal used to support a wall shelf,n,括弧
elasticity,the ability to stretch easily and then quickly return to the original shape,n,弾力性
cure,a medicine or treatment that makes an ill person become healthy,n,治療，治療する
contradictory,"containing information, statements, or beliefs that do not agree with one another",adj,矛盾した
sensation,"a feeling that is experienced by the body, usually through the sense of touch",n,感覚
sustainable,capable of continuing for a long time at the same level; does not damage the environment,adj,持続可能な
elastic,able to return to original shape or size after stretching,adj,弾性の
machinery,machines in general,n,機械
dictate,to speak while another person (or computer) writes the words down,verb,書き取らせる；口述する
vitamin,a substance that is healthy for your body and can be found in foods or taken as a medicine,n,ビタミン
incline,a slope or surface that rises uphill,n,傾く，傾斜
leisure,time when you have no work to do and can relax,n,余暇；レジャー 
enforcement,the act or process of making sure that rules are followed,n,施行
cyclic,a series of regular and repeated actions,adj,循環の；環式の
prey,an animal that is killed and eaten by another animal,n,捕食
clue,a piece of information that helps explain a situation or provide a solution to a problem,n,手がかり
friction,the act of sliding two objects against each other,n,摩擦
parenthesis,"one of two symbols ( and ), used in writing",n,括弧
noble,having personal qualities that people admire,adj,気高い
potassium,"a common, soft, silvery white metal that is usually used for farming or industrial purposes",n,カリウム
reactive,easily reacting to; responsive,adj,反応の
genetically,"caused or controlled, or by genes",adv,遺伝的に
bacteria,the very small creatures that sometimes cause disease in humans and animals,n,細菌
wisdom,knowledge gained from experience in life,n,知恵
crude,"basic or made without skill, such as a crude drawing",adj,原油，自然の；粗雑な
realism,"accepting things as they are, not as you want",n,現実主義
deliberately,"in a careful, considered manner",adv,意図的に
chemotherapy,"the treatment of diseases, such as cancer, using chemicals",n,化学療法
surplus,extra; more than is needed,adj,余剰；黒字
capillary,very small blood vessels,n,毛細血管
directive,formal an order from an authority,n,指令；指示の
globalization,"international spread of something, e.g. company",n,世界化
alien,person or creature from a planet other than Earth,n,外国人；宇宙人
portfolio,a list of the financial assets held by an individual or other financial institution,n,ポートフォリオ
monopoly,complete control of the market for a service or product,adv,独占
lifestyle,the type of life that you have,n,ライフスタイル；生活様式
invert,to turn something upside down,verb,反転する
thread,"a long, very thin, soft material used to join or make cloth",n,糸
clay,"heavy, sticky earth used to make pottery",n,粘土
dye,a liquid that colors hair or cloth,n,染料，染める
transcribe,to write something spoken,verb,～を書き写す
dilute,"to mix; to reduce in strength, concentration, quality or purity",verb,希薄な，薄くする
tribe,"a racial group united by language, religion and customs",n,部族
damp,a little wet,adj,湿った
economically,in an efficient manner; without using too much effort,adv,経済的に
critically,in a way that is serious or dangerous; vitally,adv,批判的に
secrete,to produce a liquid,verb,隠す；分泌する
hip,the upper part of the leg,n,臀部；腰
plantation,"a large area of plants, usually in a hot climate",n,農園
prejudice,"an unreasonable hatred for a group of people, usually a race or a religion",n,偏見
onwards,forward,adv,前方へ
anti,a prefix meaning 'against' or 'opposed',prefix,アンチ
helix,a 3D spiral shape,n,螺旋
interrupt,to cause something to stop happening for a time,verb,中断する；割り込む
domination,authority; rule; control,n,支配
undergraduate,a college student who is working toward his or her first degree,n,学部生
soluble,"can be mixed with a liquid, e.g. salt is soluble in water",adj,水溶性
innate,present in a person or animal from the time of birth,adj,生まれつきの
dioxide,an oxide containing two oxides per molecule,n,二酸化
goat,small animal with beard and horns,n,ヤギ
emit,"formal to release or send out (a gas, etc)",verb,出す；発する
confound,"to confuse and greatly surprise someone, so that they are unable to explain a situation",verb,情況などを混乱させる
competent,fully qualified or capable of doing,adj,有能な
degrade,to treat someone without respect; to reduce in amount or strength,verb,低下する；分解する
layout,"plan or design of something, e.g. of book page",n,レイアウト；設計
fabric,cloth,n,織物
container,an object that can be used to hold things,n,容器
fungus,"a group of plants that grow on dead materials and have no flowers, e.g. mushrooms",n pl.,菌
reservoir,"a lake, usually artificial, where water is collected and stored for the use of a community or industry",n,貯水池
footnote,extra information at the bottom of a page,n,脚注
bodily,"physically, as when lifting someone",adv,身体の
niche,"a small area; a specialised business, job or activity",n,ニッチ
vague,not clearly stated,adj,ぼんやりした
affirm,"to state, strengthen or support a belief you have",verb,確認する
urine,yellow liquid waste from the body,n,尿
afterward,happening after something else happened,adv,その後
jazz,a type of American music known for its energetic beat and parts that musicians make up as they go along,n,ジャズ
antiquity,an ancient period; something made a long time ago,n,古代；古代に作られたもの
unemployed,being without a job; jobless,adj,失業した，失業者
toxic,poisonous; harmful,adj,毒性の
yeast,a single-celled fungi used to make bread and beer,n,イースト
punish,to make someone suffer for bad behavior,verb,罰する
forum,meeting where people can openly discuss a subject,n,フォーラム、講演会、座談会
bleed,to lose blood because of an injury,verb,出血する
overhead,located above your head or in the sky,adj,間接費
republic,a country governed by elected representatives,n,共和国
processor,a machine or company that prepares something and makes it ready for use,n,処理装置；加工機；加工業者
goodness,nourishment; good food value,n,よいこと
audit,to examine carefully for accuracy,verb,監査
comply,to act in agreement with another's wishes; to obey a rule,verb,従う
legend,"old story generally believed, although not proven",n,伝説
slot,"a long narrow opening, into which you put or fit something",n,細長い穴；地位；時間枠
drain,"a pipe that removes water, or other liquids",n,配水管，排出する
abdominal,Concerned with the abdomen or stomach,adj,腹部の
media,"means of communication (tv, newspapers, internet)",n,メディア；マスコミ
tempt,"to make someone want something, even if it's bad",verb,誘惑する
outlet,"a way for something to be released; a pipe, hole or wire through which gas, liquid or electricity flows",n,アウトレット
precipitation,"rain, snow or hail",n,降水量
founds,"to be based on, started or created by",verb,設立する
invade,to enter a place with an aim of taking control of it,verb,侵入する
interviewer,a person who asks questions to obtain information,n,面接する人
apple,hard round red or green fruit with a white center,n,りんご
planner,notebook for recording appointments or things to do,n,手帳；ノート
supposedly,as some people believe (shows you doubt it),adv,たぶん
gut,"the parts inside: a human body, animal body or a machine",n,腸
swell,"to become larger than normal, often because of injury",verb,膨張する
emperor,man who rules an empire,n,皇帝
altitude,the height of something above sea level,n,高度
gauge,a tool used to measure things,n,計測器，測定する
transparency,the amount you can see through something,n,透明
sub,a prefix meaning 'under' or 'instead of',prefix,サブ
blank,being empty; not filled out; with no writing on it,adj,空白
chloride,a chemical compound that is a mixture of chlorine and something else,n,塩化物
sensible,having the ability to judge something reasonably,adj,賢明な；分別のある
weave,to make something by crossing threads over and under each other,verb,織る
destination,the place one is traveling to,n,目的地；宛先
precipitate,to cause to happen,verb,沈殿物
painful,causing or feeling physical pain or hurt,adj,痛い
industrialization,process of creating and developing many businesses,n,工業化
lab,laboratory; a place to do scientific experiments,n,研究所
seminar,a small class at a college or university,n,セミナー
minus,(prep) being less than zero in number,prep,マイナス；負数
conduction,"the transmission of heat, electricity or sound",n,伝導
audio,concerning sound,adj,音声の
subtract,"to take away, e.g. 20 - 5 = 15",verb,減算する
facet,a part of something,n,宝石などの小面
splice,act of connecting two pieces of rope or wire into one,n,接合
incumbent,a person who holds a particular office or position,n,現職
biodiversity,"the variation in an environment, the number of different types of life found there",n,生物多様性
chunk,a large bit of something; thick lump,n,大きな塊
credibility,quality of being believable or deserving of trust,n,信頼性
tutor,a teacher,n,家庭教師
super,of the highest quality; great; marvelous,adj,超；最高の
fin,"the flat, thin body parts of a fish that sticks out and helps guide it through water",n,魚のひれ
aluminum,very light silvery-white metal used to make cans,n,アルミニウム 
gram,a metric unit of weight,n,グラム
liable,legally responsible for something,adj,法的責任がある
marble,a kind of stone; metamorphosed limestone,n,大理石
pesticide,a chemical substance used to kill pests,n,農薬
technically,in an exact and particular manner,adv,技術的に；専門的に言うと
criteria,standard used to make judgments or decisions,n,基準
fringe,the edge of something; such as the decorative edge on a piece of clothing,n,縁；縞（しま）
messenger,someone who delivers a messages,n,使者；メッセンジャー
biologist,a scientist who studies living things,n,生物学者
connotation,an association; an implication,n,含蓄
delta,the place a river divides before entering a larger body of water,n,デルタ
tremendous,"having great size, excellence, or power",adj,途方もない
snake,an animal with with a long thin body and no arms or legs,n,ヘビ
flesh,the soft parts of the body,n,肉
ghost,"spirit of a dead person, appearing to the living",n,幽霊
marrow,"a soft, fatty tissue inside bones",n,骨髄
surgeon,a doctor who performs surgery,n,外科医
instinct,"the natural way a person or animal thinks or behaves, knowledge that is not learned",n,本能
industrialize,To make into something at an industrial level,verb,工業化する
denominator,the bottom number in a fraction,n,分母
stripe,"a long, thin part of something which is a different color from the parts beside it",n,縞模様
junior,someone lower in rank,adj,年下の；後輩の，年少者
solvent,something that dissolves or can melt another substance,n,溶剤
kilometer,a metric unit of length equal to 1000 meters,n,キロメートル
slab,"a thick, flat slice of something",n,厚板；厚切り
click,to press a computer mouse to do something on a computer,verb,クリックする
hedge,a fence made with small trees; avoid or try to avoid fulfilling,n,生け垣；防衛
spray,to make water or liquid fly in very small drops,verb,スプレー，スプレーする；散布する
cinema,a place for showing movies,n,映画；映画館
plug,an electrical connector; to fill or close tightly so liquid or air cannot pass,verb,プラグ；栓
naked,not wearing any clothes; without covering,adj,裸の
indifference,a lack of enthusiasm or interest in things; seeming not to care,n,無関心
erase,to remove written information or information on a computer memory,verb,消す
powder,a dry substance made up of very small pieces,n,粉末
micro,"a prefix meaning 'very small', such as microchip",n,マイクロ
clip,a metal holder used for keeping things together,n,クリップ；切り抜き，切り抜く
solute,"a substance that has dissolved in a solvent and become part of the liquid, so that they form a solution",adj,溶質
dissection,the act or process of cutting something,n,切開
censor,"to remove parts of a book, film or letter for moral, religious, or political reasons",n,検閲官，検閲する
portrayal,"the way that something or someone is represented in a book, film, picture or other context",adj,描写
statistics,a type of mathematics that provide specific information or prove something,n pl.,統計
thumb,"the short, thick finger on the side of your hand",n,親指
acidic,containing acid,adj,酸性の
uplift,to make someone feel happier or more hopeful,n,元気付ける
flip,to rotate or turn something over,n,反転する；はじく
congruent,having the same shape and size,adj,合同の
parcel,"a package or box wrapped in paper, a thing bigger than a letter that is sent in the mail",n,小包
lecturer,a junior teacher in university,n,講師
skip,to not do; to jump,verb,スキップ，飛ばす
poster,"a large, printed notice or picture",n,ポスター
sword,a long metal weapon with a sharp point and edge,n,剣
photographic,concerning the art of making images with cameras,adj,写真の
auction,To sell to a person offering the highest price,verb,競売で売る
barrel,a round container with curved sides and flat ends,n,樽；バレル
mentor,an experienced or wise person who teaches or helps another person,n,メンター
nicely,in a pleasing way; in a polite way,adv,うまく；よく
lump,"a small hard part of something smooth, soft, or continuous",n,かたまり；しこり
quiz,a game in which players answer questions on a specific topic,n,小テスト，小テストをする
watershed,"a period of time during which important, significant changes take place",verb,流域
liter,metric unit for measuring liquid or gas,n,リットル
oxidize,to convert (an element) into an oxide; combine with oxygen - to rust,verb,酸化
mercury,"a heavy, silver-white metal that is used in thermometers to measure temperature; a planet",n,水銀
noisy,full of noise; loud,adj,やかましい；派手な 
headquarter,the main office of a company or organisation,n,本社
phenomenal,"unusual, remarkable",adj,驚異的な
multinational,involving many countries,adj,多国籍の，多国籍企業
comma,mark showing a pause or list in a sentence,n,コンマ
bizarre,odd or strange,adj,奇妙な
specialty,the specific area of your field,n,専門；特殊；名物
socialize,to teach people to behave in a way which is acceptable in their culture; to spend time with people,verb,社交化
enormously,"extremely, by a large amount",adv,非常に
novice,"a person with little or no experience in a particular activity, skill, or subject",n,初心者
rope,a thick string made by twisting many fibers together,n,ロープ
campus,"the site of an institution, such as a university campus",n pl.,キャンパス
clever,Showing intelligence; quick to understand or learn,adj,利口な
mole,a small animal with dark fur that lives under the ground; a unit for measuring molecules,n,ほくろ
sometime,at an unknown time in the future,adj,いつか
bucket,open container with a handle used to carry liquids,n,バケツ
swap,to trade or exchange,verb,交換する
recipe,directions for making something,n,レシピ 
airplane,a machine that flies through the air,n,飛行機
deflection,the action of making something move in a different direction,n,たわみ
deceive,to make someone believe something that is not true,verb,欺く
syllabus,the teaching schedule for a course in a school or university,n,概要
neat,Not messy; clean and orderly; simple and effective,adj,きちんとした
factorial,concerning factors or factorials,adj,要因の；階乗の
lever,a handle that one pulls to operate a machine,n,レバー
descriptor,a label; something that describes,n,記述語；記述子
semester,half a year in school or college,n,学期
underneath,below or beneath something; under,adv,下に
reactor,device to control nuclear energy as a power source,n,原子炉
herbicide,a poison that kills weeds,n,除草剤
bonus,extra money for achieving/exceeding target,n pl.,ボーナス；賞与
cheat,To act in dishonest manner to gain an advantage,verb,だます
missile,"a weapon, usually thrown, shot or launched",n,ミサイル
rub,to move something back and forth along a surface,verb,こする
radar,a device that sends out radio waves for finding out the position of another object,n,レーダー
memorize,to study something so that you remember it,verb,覚える
scripture,the holy books of a particular religion,n,聖書
whoever,whatever person; any person at all,pron,誰が～しようとも；一体誰が～；～する人は誰でも
whichever,whatever one,det,どちらの～でも
bullet,metal object fired from a gun,n,弾丸
punch,to make a quick hit with a closed hand,verb,殴る，パンチ
postgraduate,graduate studying for a further degree,n,大学院生
artwork,photographs or pictures in a printed publication,n,作品
pardon,to excuse,verb,何とおっしゃいましたか？
millimeter,1/1000th of a meter,n,ミリリットル
incredible,very hard to believe,adj,信じられない
halfway,a middle point between two extremes,adv,中間で；途中で
deadline,a date or time before which something must be done,n,締め切り
bang,to strike something loudly or forcefully,verb,たたく；ぶつける
semi,a prefix meaning 'half',prefix,半；準
slash,to cut violently,n,サッと切る；大幅に削減する，切り傷；削減；スラッシュ
ridiculous,"something that deserves laughter, is foolish or funny",adj,ばかげた
homework,work that a student is given to do at home,n,宿題
multi,a prefix meaning 'more than one',prefix,多数の
volition,the act of making a conscious choice,n,意志選択行為
tricky,difficult to do or deal with; something that needs skill,adj,巧妙な；扱いにくい
cheers,a toast used when raising your glass to drink,n,乾杯
shuttle,a vehicle that carries passengers or items between two places,n,シャトル，往復する
aerosol,a container that sprays liquid under pressure,n,エアロゾル
athletic,fit and strong; physically capable,adj,たくましい；強健な
chess,"a game of strategy, for two players",n,チェス
terribly,to an extreme degree; badly; very,adv,ひどく
unintelligible,that cannot be understood,adj,理解できない
circa,an approximate time period,n,約（年号に使われる）
scroll,a long rolled piece of paper with writing on it; to move up and down a computer screen,n,スクロール
sponsorship,money given to a student to pay for education,n,資金援助
connector,a device that joins things together,n,コネクタ
nasty,"very bad, unpleasant, or offensive",adj,不快な；意地の悪い
incredibly,"extremely, hard to believe",adv,信じられないほど
neo,a prefix meaning 'recent' or 'new',n,ネオ
entrant,a person who enters a contest,n,参加者
hawk,a large bird that gets its food by killing smaller birds and animals,n,タカ
handout,"a piece of paper with information, often given out before a presentation",n,配布資料
tech,short for 'technology' or 'technician',n,科学技術
rack,"a frame, stand or hook on which things are set or hung",n,棚
applause,the sound made by clapping a performance or speech,n,拍手
demonstrator,person who shows how something works e.g. product,n,証明者
calculator,a small electronic device used for calculation,n,計算機
mall,a large shopping center with many individual stores,n,モール
sneeze,to loudly blow air out of your nose or mouth in a sudden uncontrolled way,verb,くしゃみをする
sniff,to smell by short intakes of air.,verb,匂いを嗅ぐ
stadium,very large building with a sports field and rows of seats all around that is used for various events,n,スタジアム
descendent,,undefined,子孫
