Rank,Lemma,POS,Definition,
733,recognize,verb,to know and remember because of previous knowledge or experience,認識する
734,window,noun,an opening in a wall or door that usually contains a sheet of glass,窓
735,purpose,noun,the reason for which something is done,目的
736,department,noun, a division of a larger part or organization,部門
737,gain,verb,to get something wanted or valued,得る
738,tree,noun,"a usually tall plant that has a thick, wooden stem and many large branches ",木
739,college,noun,an school or educational institution for adults,大学
740,argue,verb," give reasons for or against something : to say or write things in order to change someone's opinion about what is true, what should be done, etc.",主張する
741,board,noun,"a long, thin, flat piece of wood ",板
742,holiday,noun,a special day of celebration ,休日
743,mark,verb,to make or leave a visible mark on something,印をつける
744,church,noun,a building used for Christian religious worship or services,教会
745,machine,noun,"a piece of equipment with moving parts that does work when it is given power from electricity, gasoline, etc. ",機械
746,achieve,verb,"to reach a goal, to get something",達成する
747,item,noun,"an individual article, unit or piece of information",品物
748,prove,verb,"to show the existence, truth, or correctness of (something) by using evidence, logic, etc. ",証明する
749,cent,noun,a unit of money that is equal to 1/100 of the basic unit of money,セント
750,season,noun,"one of the four periods (spring, summer, autumn, and winter) into which the year is commonly divided ",季節
751,floor,noun,the part of a room on which you stand,床
752,stuff,noun,"materials, supplies, or equipment ",材料
753,wide,adjective,extending a great distance from one side to the other;  not narrow,広い
754,anyone,pronoun,any person,だれか
755,method,noun,a way of doing something,方法
756,analysis,noun,the process of analyzing something,分析
757,election,noun,the act or process of choosing someone for a public office by voting ,選挙
758,military,adjective,of or relating to soldiers or the armed forces,軍の
759,hotel,noun,"a place that has rooms in which people can stay especially when they are traveling :a place that provides food, lodging, and other services for paying guests ",ホテル
760,club,noun,a group of people who meet to participate in an activity,クラブ
761,below,preposition,in or to a lower place,下に
762,movie,noun,a film or video,映画
763,doctor,noun,"a person who skilled to treat people who are ill, sick and injured",医師
764,discussion,noun,the act of talking about something with another person or a group of people : a conversation about something,議論
765,sorry,adjective,feeling sorrow or regret ,気の毒に思う
766,challenge,verb,"to try, to say or show that something may not be true",異議を申し立てる
767,nation,noun,"a large area of land controlled by government, territory",国家
768,nearly,adverb,almost,ほとんど
769,statement,noun,something that someone says or writes officially,声明
770,link,noun,"to join or connect together, a relationship",結びつける
771,despite,preposition,without being affected by something: in spite of,にもかかわらず
772,introduce,verb,to make (someone) known to someone else by name ,紹介する
773,advantage,noun,something (such as a good position or condition) that helps to make someone or something better or more likely to succeed than others ,利点
774,ready,adjective,prepared to do something,準備ができている
775,marry,verb,to become the husband or wife of (someone),結婚する
776,strike,verb,to hit something in a forceful way,打つ
777,mile,noun,a unit of measurement used in the US that is about 1600 meters,マイル
778,seek,verb,to search for;  to try to find;  look for,探し求める
779,ability,noun,the power or skill to do something,能力
780,unit,noun,"a single thing, person or group that is a part of something larger",単位
781,card,noun,"a small piece of stiff paper that is marked with symbols or pictures to show its value, comes in a set, and is used for playing games",カード
782,hospital,noun,a place where sick or injured people are given care or treatment and where children are often born ,病院
783,quickly,adverb,fast or in a short time,速く
784,interview,noun,a meeting in which someone asks you questions to see if you are suitable for a job or course,面接
785,agreement,noun,a promise or decision made between two or more people,合意
786,release,verb,"to allow to leave a jail, cage, prison, etc.",釈放する
787,tax,noun,money that a government requires people to pay,税金
788,solution,noun,something that is used or done to deal with and end a problem : something that solves a problem ,解決策
789,capital,noun,having the main offices of a government,首都
790,popular,adjective,liked or enjoyed by many people ,人気がある
791,specific,adjective,"special or particular, clearly presented or stated",独特な、特に
792,beautiful,adjective,very attractive,美しい
793,fear,noun,an unpleasant feeling caused by being aware of danger,恐れ
794,aim,noun,to have a specified goal or purpose,狙う
795,television,noun,"a piece of equipment with a screen on the front, used for watching programs",テレビ
796,serious,adjective,having an important or dangerous possible result,深刻な
797,target,noun,something that you are trying to do or achieve,目的
798,degree,noun,a unit for measuring temperature or the size of an angle,度
799,pull,verb,to hold onto and move (someone or something) in a particular direction and especially toward yourself,引く
800,red,adjective,having the color of blood,赤
801,husband,noun,a married man : the man someone is married to,夫
802,access,noun,a way of getting near to somewhere,アクセス
803,movement,noun,a change of position or place,動き
804,treat,verb,the way you behave towards someone,扱う
805,identify,verb,to indicate who  or what someone or something is,識別する
806,loss,noun,failure to keep or to continue to have something,失うこと
807,shall,verb,"expressing the future tense, to expect to happen",～となるだろう
808,modern,adjective,relating to the present or recent time ,現代的な
809,pressure,noun,the weight or force that is produced when something presses or pushes against something,圧力
810,bus,noun,a large vehicle that is used for carrying passengers especially along a particular route at particular times,バス
811,treatment,noun,"something which you do to try to cure an illness or injury, especially something suggested or done by a doctor",治療
812,yourself,pronoun,the reflexive form of the pronoun 'you',あなた自身
813,supply,noun,the amount of something that is available to be used,供給
814,village,noun, a small town in the country ,村
815,worth,noun,used to indicate the value of something,価値
816,natural,adjective,something that exists or happens because of nature; not made or done by people,自然
817,express,verb,to talk or write about (something that you are thinking or feeling) ,表現する、伝える
818,indicate,verb,"to show something, direct attention to or point out",指し示す
819,attend,verb,"to go to and be present at (an event, meeting, etc.)",出席する
820,brother,noun,a boy or man who has one or both of the same parents as you ,兄弟
821,investment,noun,"the money that you put in a bank, business, etc. in order to make a profit",投資
822,score,noun,the number of points someone gets in a game or test,スコア
823,organize,verb,to arrange systematically,まとめる
824,trip,noun,a journey to a place ,旅
825,beyond,preposition,"on or to the farther part or side, in addition",～を越えて
826,sleep,verb,to rest your mind and body by closing your eyes and becoming unconscious ,寝る
827,fish,noun,"a cold-blooded animal that lives in water, breathes with gills, and usually has fins and scales ",魚
828,promise,noun,a statement telling someone that you will definitely do something or that something will definitely happen in the future ,約束
829,potential,adjective,having or showing a capacity for the future,潜在能力
830,energy,noun,having physical or mental strength,エネルギー
831,trouble,noun,problems or difficulties,困難
832,relation,noun,a person who is a member of your family,関係
833,touch,verb,"to put your hand, fingers, etc., on someone or something",触る
834,file,noun,a folder or box for documents that are similar,ファイル
835,middle,noun,equally distant from the ends or sides : halfway between two points ,中間
836,bar,noun,a building or room where alcoholic drinks and sometimes food are served ,酒場
837,suffer,verb,"to experience pain, illness, or injury ",苦しむ
838,strategy,noun,a careful plan or method for reaching a goal ,戦略
839,deep,adjective,having a large distance to the bottom from the surface or highest point,深い
840,except,conjunction,not including or other than,～以外
841,clean,adjective,"free from dirt, marks, etc. : not dirty ",綺麗にする、きれいな
842,tend,verb,used to describe what often happens or what someone often does or is likely to do,傾向がある
843,advance,noun,to move forward,進む
844,fill,verb,to make something full or to spread through,満たす
845,star,noun,any one of the objects in space that are made of burning gas and that look like points of light in the night sky ,星
846,network,noun,"a system of lines, wires, etc., that are connected to each other ",ネットワーク
847,generally,adverb,"usually, or in most situations",一般的に
848,operation,noun,when a doctor cuts into someone's body to remove a sick part,手術
849,match,noun,someone or something that is equal to or as good as another person or thing ,匹敵する
850,avoid,verb, to stay away from (someone or something) ,避ける
851,seat,noun,something (such as a chair) that you sit on,席
852,throw,verb,to cause (something) to move out of your hand and through the air by quickly moving your arm forward,投げる
853,task,noun,a piece of work to have done given by a person,仕事
854,normal,adjective,"conforming to a standard, usual, ordinary, not strange",普通
855,goal,noun,"something you try to do or achieve, an aim or result",目標
856,associate,verb,"to relate two things, people, etc. in your mind",関連付ける、連想する
857,blue,adjective,having the color of the clear sky ,青
858,positive,adjective,"good or useful in qualities, constructive, confident",前向きな
859,option,noun,something which may be chosen,選択
860,box,noun,"a container that is made of a hard material (such as wood, metal, or cardboard) and that usually has four straight sides",箱
861,huge,adjective,extremely large,とてつもなく大きい
862,message,noun,a piece of information that is sent or given to someone ,"メッセージ,伝言"
863,instance,noun,an example of a particular action or situation,事例
864,style,noun,a particular way something is done or created,型
865,refer,verb,to talk about or write about (someone or something) especially briefly : to mention (someone or something) in speech or in writing ,言及する
866,cold,adjective,having a very low temperature,冷たい
867,push,verb, to use force to move (someone or something) forward or away from you,押す
868,quarter,noun,one of four equal parts of something ,４分の１
869,assume,verb,to accept a responsibility or debt,負う
870,baby,noun,a very young child,赤ん坊
871,successful,adjective,achieving what you want to achieve,成功した
872,sing,verb,to use your voice to make musical sounds in the form of a song or tune,歌う
873,doubt,verb,to be uncertain about something,疑う
874,competition,noun,the act or process of trying to get or win something (such as a prize or a higher level of success) that someone else is also trying to get or win,競争
875,theory,noun,an idea that is explain facts or events academically,理論
876,propose,verb,"to suggest (something, such as a plan or theory) to a person or group of people to consider ",提案する
877,reference,noun, the act of mentioning something in speech or in writing,言及する
878,argument,noun,an angry discussion with someone in which you both disagree,口論
879,adult,noun,a person or animal that is grown up,大人
880,fly,verb,to move through the air with wings ,飛ぶ
881,document,noun,an official record that gives information,文書
882,pattern,noun,a repeated form or design especially that is used to decorate something,パターン
883,application,noun,a formal and usually written request for something (such as a job,応募書
884,hot,adjective,having a high temperature ,熱い
885,obviously,adverb,in a way that is easy to understand or see,明らかに
886,unclear,adjective,not easy to understand,明確でない
887,bill,noun,a document that says how much money you owe for something you have bought or used ,請求書
888,search,verb, to carefully look for someone or something ,探す
889,separate,adjective,"not joined, connected, or combined : placed or kept apart ",分かれた
890,central,adjective,in or near the center of a place or object,真ん中の
891,career,noun,a job that you do for a long period of your life,キャリア
892,anyway,adverb,despite something that has been stated before ,とにかく
893,speech,noun,"a spoken expression of ideas, opinions, etc., that is made by someone who is speaking in front of a group of people ",スピーチ
894,dog,noun,"a type of animal that is often kept as a pet or trained to work for people by guarding buildings, hunting, etc. ",犬
895,officer,noun,a person who has an important position in a company or organization,会社員
896,throughout,preposition,in every part of a place; during the whole of a period of time,～にわたって、～を通じて
897,oil,noun,"a thick, black liquid that comes from the ground and that is used in making various products (such as gasoline)","オイル,油"
898,dress,noun,a piece of clothing for a woman or a girl that has a top part that covers the upper body and a skirt that hangs down to cover the legs ,ドレス
899,profit,noun,"money that is made in a business, through investing, etc.",利益
900,guess,verb, to form an opinion or give an answer about something when you do not know much or anything about it ,推測する
901,fun,adjective,someone or something that is amusing or enjoyable,楽しい
902,protect,verb,"to keep (someone or something) from being harmed, lost, etc. ",守る
903,resource,noun,an essential supply of something,資源
904,science,noun,knowledge about or study of the natural world based on facts,科学
905,disease,noun,"an illness that affects a person, animal, or plant",病気
906,balance,noun,the state of having your weight spread equally so that you do not fall ,バランス
907,damage,noun,physical harm that is done to something or to someone's body,損傷
908,basis,noun,something from which another thing develops,基礎
909,author,noun,a person who writes book,著者
910,basic,adjective,forming or relating to the most important part of something,基本的な
911,encourage,verb,"to make (someone) more determined, hopeful, or confident ",勇気づける
912,hair,noun,a thin threadlike growth from the skin of a person or animal,毛髪、毛
913,male,adjective,characteristic of boys or men ,男性
914,operate,verb,to function or behave in a proper or particular way,動作する
915,reflect,verb," to move in one direction, hit a surface, and then quickly move in a different and usually opposite direction",反射する
916,exercise,noun,physical activity that is done in order to become stronger and healthier ,運動
917,useful,adjective,helpful for doing or achieving something,便利
918,restaurant,noun,a place where you can buy and eat a meal,レストラン
919,income,noun,"earned money from work, investments or business",収入
920,property,noun,something that is owned by a person or business,所有物
921,previous,adjective,existing or happening before the present time,前の
922,dark,adjective,"having very little light, not light in color",暗い
923,imagine,verb,to think of or create something in one's mind that is not real ,想像する
924,okay,adverb,used when agreeing to do something or when allowing someone to do something,ＯＫ、いいよ
925,earn,verb,"to get (money, a salary, etc.) for work that you have done ",稼ぐ
926,daughter,noun, a female child,娘
927,post,noun,letters or packages sent by post,郵便物
928,newspaper,noun,"a set of large sheets of paper that have news stories, information about local events, advertisements, etc., and that are folded together and sold every day",新聞
929,define,verb,"to state the meaning of a word, phrase, etc.",定義する
930,conclusion,noun,the opinion you have after considering all the information about something; the final part of something,結論
931,clock,noun,a device that shows what time it is and that is usually placed in a room or attached to a wall ,時計
932,everybody,pronoun,every person;  everyone,全員
933,weekend,noun, Saturday and Sunday,週末
934,perform,verb,to do an action or activity that usually requires training or skill,演じる
935,professional,adjective,relating to a job that requires special skill,専門の
936,mine,pronoun,that which belongs to me : my one : my ones ,私のもの
937,debate,noun,a formal discussion between people,討論
938,memory,noun, the power or process of remembering what has been learned,記憶
939,green,adjective,having the color of growing grass,緑
940,song,noun,a short piece of music with words that are sung ,歌
941,object,noun,a thing that you can see and touch and that is not alive ,物体
942,maintain,verb,to keep exist or continue without changing,維持する
943,credit,noun,the quality of being believed or having a good reputation,信用
944,ring,noun,a piece of jewelry that is worn usually on a finger ,指輪
945,discover,verb,"to see, find, or become aware of (something) for the first time ",発見する
946,dead,adjective,"no longer alive or living , no longer having life",死んでいる
947,afternoon,noun,the middle part of the day : the part of the day between noon and evening ,午後
948,prefer,verb,to like (someone or something) better than someone or something else ,～をより好む
949,extend,verb,"to cause (something, such as your arm or leg) to straighten out or to stretch out ",伸ばす
950,possibility,noun,a chance that something may happen or be true,可能性
951,direction,noun,the course or path on which something is moving or pointing,方向
952,facility,noun,a place where a particular activity happens,施設
953,variety,noun,a number or collection of different things or people ,多様な
954,daily,adjective,"happening, done, made, used, or existing every day ",日誌
955,clothes,noun,items such as shirts and trousers that you wear on your body,衣服
956,screen,noun,the usually flat part of a television or computer monitor that shows the images or text : the part of a television or computer that you look at when you are using it ,画面
957,track,noun,"a path or trail that is made by people or animals walking through a field, forest, etc.",(人・車などの）通った跡
958,dance,verb,to move your body with rhythm to music ,踊る
959,completely,adverb,in every way or as much as possible,完全に
960,female,adjective,characteristic of girls or women ,女性
961,responsibility,noun,something that it is your job or duty to do or deal with,責任
962,original,adjective,special and interesting because of not being the same as others; the earliest form of something,オリジナル
963,sister,noun,a girl or woman who has one or both of the same parents as you,姉妹
964,rock,noun,to move (someone or something) back and forth or from side to side,揺れ動く
965,dream,noun,"a series of thoughts, visions, or feelings that happen during sleep",夢
966,nor,conjunction,used after neither to show something is also not true or possible,AもBも～でない
967,university,noun,a high-level educational school where academic research is done,大学
968,easily,adverb,with no difficulty,簡単に
969,agency,noun, a business that provides a particular service ,代理店
970,dollar,noun,"a basic unit of money in the U.S., Canada, Australia, and other countries that is equal to 100 cents",ドル
971,garden,noun, an area of ground where plants (such as flowers or vegetables) are grown ,庭
972,fix,verb,to make (something) whole or able to work properly again ,修理する
973,ahead,adverb,in or toward the front ,前
974,cross,verb,to go from one side of (something) to the other : to go across (something),交差する
975,yeah,interjection,"used to give a positive answer or reply to a question, request, or offer (informal)",ああ
976,weight,noun,a measurement that indicates how heavy a person or thing is ,重さ
977,legal,adjective,"of or relating to the law, required by the law",法律上の、法的な
978,proposal,noun,something (such as a plan or suggestion) that is presented to a person or group of people to consider ,提案
979,version,noun,a particular form of something and other forms ,版
980,conversation,noun,an informal talk involving two people or a small group of people,会話
981,somebody,pronoun,"person who is not known, named, or specified",誰か
982,pound,noun, a unit of weight that is equal to 16 ounces or 0.4536 kilograms ,ポンド
983,magazine,noun,"a thin book published every week or month, that has shiny, colorful pages with articles and pictures",雑誌
984,shape,noun,the form or outline of an object,形
985,sea,noun,the salt water that covers much of the Earth's surface,海
986,immediately,adverb,now or without waiting or thinking about something,ただちに
987,welcome,interjection,used as a friendly greeting to someone who has arrived at a place,ようこそ
988,smile,noun,"an expression on your face that shows happiness, amusement or pleasure",笑顔
989,communication,noun,the act of communicating with other people,コミュニケーション
990,agent,noun,a person who does business for another person : a person who acts on behalf of another ,代理人
991,traditional,adjective,following the customs or ways of behaving that have continued in a group of people or society for a long time,伝統的な
992,replace,verb,to be used instead of (something) ,取って代わる
993,judge,noun,a person who has the power to make a decision,審判
994,herself,pronoun,the reflexive form of the pronoun 'she',彼女自身
995,suddenly,adverb,quickly and unexpectedly,突然
996,generation,noun,people born and living during about the same time,世代
997,estimate,noun,a rough idea or guess,予算
998,favorite,adjective,most liked ,お気に入りの
999,difficulty,noun,the quality of something that makes it hard to do : the difficult nature of something ,困難
1000,purchase,verb,"to buy something, to get by paying money for it",購入する
1001,shoot,verb,"to cause a bullet, arrow, etc., to move forward with great force from a weapon",撃つ
1002,announce,verb,to tell people about something officially or with force or confidence,発表する
1003,unless,conjunction,"used to say what will happen, be done, or be true if something else does not happen, is not done, or is not true",～でない限り
1004,independent,adjective,not controlled or ruled by anyone else,独立
1005,recommend,verb,to say that (someone or something) is good and deserves to be chosen ,薦める
1006,survey,noun,an act of studying to make a judgment about it,調査
1007,majority,noun,more than half of a group of people or things,大多数
1008,stick,noun,a cut or broken branch or twig ,棒
1009,request,noun,an act of politely or formally asking for something,要請
1010,rich,adjective,having a lot of money and possessions,金持ち
1011,wind,noun,a natural movement of air outside,風
1012,none,pronoun,not any of a group of people or things,誰も・何も～ない
1013,exchange,noun,an occurrence in which people give things of similar value to each other ,交換
1014,budget,noun,a plan of how you will spend your money; the amount of money you have for something,予算
1015,famous,adjective,known or recognized by many people,有名
1016,blood,noun,the red liquid that flows through the bodies of people and animals ,血液
1017,appropriate,adjective,right or suited for some situation or purpose,適切な
1018,block,noun,a solid piece of material (such as rock or wood) that has flat sides and is usually square or rectangular in shape,ブロック
1019,warm,adjective,somewhat hot : not cool or cold ,暖かい
1020,count,verb,to add (people or things) together to find the total number,数える
1021,scene,noun,a division of an act in a play during which the action takes place in a single place without a break in time,場面
1022,writer,noun,"someone whose job is writing books, stories, articles, etc.",作家
1023,content,noun, the things that are in something ,内容
1024,prevent,verb,to stop (something) from happening or existing ,防ぐ
1025,safe,adjective,not able or likely to be hurt or harmed in any way : not in danger ,安全な
1026,invite,verb,to ask (someone) to go somewhere or do something ,誘う
1027,mix,verb,to combine (two or more things) to make one thing that is the same throughout,混ぜる
1028,element,noun,an essential or particular part of something,要素
1029,effective,adjective,producing a result that is wanted or having an intended effect,効果的な
1030,correct,adjective,true or accurate;  agreeing with facts,正しい
1031,medical,adjective,of or relating to the treatment of diseases and injuries,医療の
1032,admit,verb, to say usually in an unwilling way that you accept or do not deny the truth or existence of (something) ,認める
1033,beat,verb,to hit (something) repeatedly,打つ
1034,telephone,noun,a system that uses wires and radio signals to send sounds (such as people's voices) over long distances,電話
1035,copy,noun,something that is or looks exactly or almost exactly like something else,うり二つ
1036,committee,noun,a group of people who are chosen to make decisions about something,委員会
1037,aware,adjective,knowing or feeling that something exists,気づく
1038,advice,noun,an opinion or suggestion about what someone should do ,アドバイス、助言
1039,handle,noun,a part of something that is designed to be held by your hand ,ハンドル
1040,glass,noun,a hard usually transparent material that is used for making windows and other products ,ガラス
1041,trial,noun,a formal meeting in a court in which evidence about crimes,裁判
1042,stress,noun,a state of mental tension and worry caused by problems,ストレス
1043,radio,noun,the system or process that is used for sending and receiving signals through the air without using wires ,ラジオ、無線
1044,administration,noun,"the work of organizing and arranging the operation of something, such as a company",経営管理
1045,complex,adjective,"difficult, not easy to understand or explain",複雑な
1046,text,noun,the original words in main writing or speech,本文
1047,context,noun,a set of facts surrounding a person or event,事情
1048,ride,verb,to sit on and control the movements of a horse or vehicle,乗る
1049,directly,adverb,with no other person or thing involved or between,直接
1050,heavy,adjective,having great weight or difficult to lift or move,重い
1051,remove,verb,"to move, erase or take away from a place",取り除く
1052,conduct,verb,"to direct, lead or guide something ",導く
1053,equipment,noun,the things that are used for a particular activity or purpose,設備
1054,otherwise,adverb,in a different way or  in all ways except the one mentioned,さもなければ
1055,title,noun,"the name given to something (such as a book, song, or movie) to identify or describe it ",題名
1056,extra,adjective,more than is usual or necessary : additional ,余計な
1057,executive,noun,people who have important jobs in business,幹部
1058,chair,noun,a seat for one person that has a back and usually four legs ,いす
1059,expensive,adjective,costing a lot of money ,高い
1060,sample,noun,a small amount of something that gives you information about the thing it was taken from ,見本
1061,sex,noun,the state of being male or female mostly biological,性別
1062,deliver,verb,to take (something) to a person or place,届ける
1063,video,noun,a film or television program recorded on videotape,ビデオ
1064,connection,noun,something that joins or connects two or more things ,接続
1065,primary,adjective,"most important, most basic or essential",主要な
1066,weather,noun,the state of the air and atmosphere at a particular time and place,天気
1067,collect,verb,to get (things) from different places and bring them together ,集める
1068,inform,verb,to give information or facts about something,知らせる
1069,principle,noun,a moral rule or belief that governs person's behavior,原理、原則
1070,straight,adverb,"not having curves, bends, or angles ",真っすぐな
1071,appeal,noun,"when a lot of people are asked to give money, information, or help; a request to change an official decision",訴え、要請
1072,highly,adverb,very or to a large degree,非常に、高く
1073,trust,noun,"belief that someone or something is reliable, good, honest, effective, etc. ",信頼
1074,wonderful,adjective,very good,素晴らしい
1075,flat,adjective,"having a smooth, level, or even surface : not having curves or bumps ",平らな
1076,absolutely,adverb,completely,全く
1077,flow,verb,to move in a steady and continuous way,流れる
1078,fair,adjective,agreeing with what is thought to be right or acceptable,公平
1079,additional,adjective,extra to what already exists,追加の
1080,responsible,adjective,having the duty of dealing with something important,責任のある
1081,farm,noun,land that is used for growing crops or raising animals,農場
1082,collection,noun,the act or process of getting things from different places and bringing them together ,収集
1083,hang,verb,to attach or place something so that it is held up without support from below,吊るす
1084,negative,adjective,not having enthusiasm or positive opinions about something; an amount less than zero,否定的な
1085,band,noun,a group of people or animals,バンド
1086,relative,adjective,compared to someone or something else or to each other ,関係性のある
1087,tour,noun,"a journey through the different parts of a country, region, etc.",旅行
1088,alternative,adjective,to give or express a choice,選択肢
1089,software,noun,programs that you use to make a computer do different things,ソフトウェア
1090,pair,noun, two things that are the same and are meant to be used together ,一組、一対
1091,ship,noun,a large boat used for traveling long distances over the sea,船
1092,attitude,noun,"the way you act, think and feel about something",態度
1093,cheap,adjective,not costing a lot of money ,安い
1094,double,adjective,made of two parts that are similar or exactly the same ,二重の
1095,leg,noun,"one of the long body parts that are used especially for standing, walking, and running ",脚
1096,observe,verb,to notice or perceive carefully,観察する
1097,sentence,noun,"a group of words that expresses a statement, question, command, or wish Sentences usually contain a subject and verb.",文
1098,print,verb,"to cause (words, images, etc.) to appear on paper or cloth by using a machine",印刷する
1099,progress,noun,movement forward or toward a place ,前進
1100,truth,noun,the real facts about something : the things that are true,真実
1101,nobody,pronoun,"no person, no one",だれも～ない
1102,examine,verb,"to look at (something) closely and carefully in order to learn more about it, to find problems, etc. ",調べる
1103,lay,verb,to place (someone or something) down gently in a flat position ,敷く、置く
1104,speed,noun,the rate at which someone or something moves or travels,速度
1105,politics,noun,activities that relate to influencing the actions and policies of a government or getting and keeping power in a government ,政治
1106,reply,verb," to say, write, or do something as an answer or response",返事をする
1107,display,verb,to put  where people can see it,展示する
1108,transfer,verb,to move from one place to another,移動する
1109,perfect,adjective,having no mistakes or flaws,完璧
1110,slightly,adverb,a little,わずかに
1111,overall,adjective,when everything is included,全体の
1112,intend,verb,to plan or want to do (something) : to have (something) in your mind as a purpose or goal ,～するつもりだ
1113,user,noun,"someone who uses a product, machine, or service",使用者
1114,respond,verb,to say or write to answer the question,返事をする
1115,dinner,noun,the main meal of the day,夕食
1116,slow,adjective,not moving quickly or not able to move quickly,遅い
1117,regular,adjective,happening over and over again at the same time or in the same way,定期的な
1118,physical,adjective,relating to the body of a person ,身体の
1119,apart,adverb,separated by an amount of space ,離れた
1120,suit,noun,a set of clothes that usually consists of a jacket and a skirt or pair of pants that are made out of the same material ,スーツ
1121,federal,adjective,a system of  government,連邦の
1122,reveal,verb,"to make known, to show or prove",明かす
1123,percentage,noun,"an amount of something, expressed as a number out of 100",割合
1124,peace,noun,freedom from any disturbance; when there is no war or fighting,平和
1125,status,noun,the position or rank compared in a society,地位
1126,crime,noun,an illegal act for which someone can be punished by the government,犯罪
1127,decline,verb,"to become lower, smaller or fewer in amount",下降する
1128,decade,noun,a period of 10 years,１０年
1129,launch,verb,"to send a spacecraft or missile into the sky, or a ship into the water; to start to sell a new product",発射する、進水させる、発売する
1130,warn,verb,to tell (someone) about possible danger or trouble,警告する
1131,consumer,noun,someone who buys or uses goods or services,消費者
1132,favor,noun,a kind or helpful act that you do for someone ,恩恵、世話
1133,dry,adjective,having no or very little water or liquid,乾く
1134,partner,noun,someone's husband or wife or the person someone has sexual relations with ,相棒
1135,institution,noun,"a large and important organization, such as a university or bank",機関
1136,spot,noun, a small area of a surface that is different from other areas ,場所
1137,horse,noun,a large animal that is used for riding and for carrying and pulling things,馬
1138,eventually,adverb,"in the end, especially after a long time",最終的に
1139,heat,noun,energy that causes things to become warmer,熱
1140,excite,verb,to cause feelings of enthusiasm in (someone),興奮させる
1141,reader,noun,someone who reads,先導者
1142,importance,noun,the quality or state of being important,重要性
1143,distance,noun,the amount of space between two places or things,距離
1144,guide,noun,a person who leads or directs other people on a journey ,案内人
1145,grant,verb,"to agree to do, give, or allow something",許諾する、与える
1146,taxi,noun,a car that carries passengers to a place for an amount of money that is based on the distance traveled,タクシー
1147,feed,verb,to give food to someone or something,食物を与える
1148,pain,noun,"the physical feeling caused by disease, injury, or something that hurts the body",痛み
1149,sector,noun,an area that includes certain kinds of job,課
1150,mistake,noun,"something that is not correct : a wrong action, statement, or judgment",誤り
1151,ensure,verb,"to make something sure, certain, or safe",確保する
1152,satisfy,verb, to cause (someone) to be happy or pleased ,満足させる
1153,chief,noun,"the person who is the leader of a group of people, of an organization, etc.",長、主任
1154,cool,adjective,somewhat cold : not warm or hot,冷たい、涼しい
1155,expert,noun,a person who is very skillful or knowledgeable,専門家
1156,wave,noun,"an area of moving water that is raised above the main surface of an ocean, a lake, etc. ",波
1157,south,noun,the direction that is the opposite of north,南
1158,labor,noun,"work, especially the type of work that needs a lot of physical effort; workers",労働
1159,surface,noun,an outside or upper layer of something,表面
1160,library,noun,"a place where books, magazines, and other materials (such as videos and musical recordings) are available for people to use or borrow ",図書館
1161,excellent,adjective,very good : extremely good ,すばらしい
1162,edge,noun,the line or part where an object or area begins or ends ,端
1163,camp,noun,"a place that is usually far away from cities and that has tents, small houses, etc., that people can live in for a short period of time",キャンプ
1164,audience,noun,a group of people who gather together to listen to something (such as a concert) or watch something (such as a movie or play),観衆
1165,lift,verb,to move (something or someone) to a higher position,持ち上げる
1166,procedure,noun,the official or usual way of doing something,手続き
1167,email,verb,to send a message electronically; a message sent electronically; a system for sending messages electronically,e-メール
1168,global,adjective,relating to the whole world,グローバル
1169,struggle,verb," to try very hard to do, achieve, or deal with something that is difficult or that causes problems",奮闘する
1170,advertise,verb,to make the public aware of something (such as a product) that is being sold,宣伝する
1171,select,verb,"to choose from a group, something most suitable",選択する
1172,surround,verb, to be on every side of (someone or something),周り
1173,extent,noun,"the range, distance, or space that is covered or affected by something or included in something ",規模
1174,river,noun,a large natural flow of water that crosses an area of land that goes into the ocean,川
1175,annual,adjective,happening once a year,年に一度
1176,fully,adverb,completely,完全に
1177,contrast,verb,"to compare, the state of being different",対比する
1178,roll,verb,to move across the ground or another surface by turning over and over,転がる
1179,reality,noun,the way things or situations really are,現実
1180,photograph,noun,a picture made by a camera ,写真
1181,artist,noun,"someone who creates art, especially paintings and drawings",芸術家
1182,conflict,noun,"a struggle or fight for an idea, power, property, etc.",闘争
1183,entire,adjective,"complete or full, with no part left out, whole",全体の
1184,presence,noun,the fact of being in a particular place : the state of being present,存在
1185,crowd,noun,a large group of people who are together in one place ,人混み
1186,corner,noun," the point or area where two lines, edges, or sides of something meet ",角
1187,gas,noun, a substance (such as oxygen or hydrogen) that is like air and has no fixed shape,ガソリン
1188,shift,verb,"to move or to cause a different place, position",移す
1189,net,adjective,"a device that is used for catching or holding things or for keeping things out of a space and that is made of pieces of string, rope, wire, etc., woven together with spaces in between ",網
1190,category,noun,a group of people or things that are similar in some way,分類
1191,secretary,noun,a person whose job is to do routine work for someone else,秘書
1192,defense,noun,the act of defending someone from attack,防御
1193,quick,adjective,done or happening in a short amount of time,早い
1194,cook,noun," someone who prepares and cooks food for eating at home, in a restaurant, etc.",料理人
1195,spread,verb,"to open, arrange, or place (something) over a large area ",広がる
1196,nuclear,adjective,relating to atomic power,核
1197,scale,noun,a device that is used for weighing people or things ,規模
1198,driver,noun,someone who drives a vehicle,運転手
1199,ball,noun,a usually round object that is used in a game or sport or as a toy,ボール
1200,cry,verb," to produce tears from your eyes often while making loud sounds because of pain, sorrow, or other strong emotions",泣く
